127.0.0.1, 2020-07-12 22:17:54, GET, /dist/js/bootstrap.min.js, HTTP/1.1, 404, 0.010026
127.0.0.1, 2020-07-12 22:17:55, GET, /customer, HTTP/1.1, 200, 0.020298
127.0.0.1, 2020-07-12 22:17:55, GET, /marisacatto/static/css/jumbotron.css, HTTP/1.1, 404, 0.000356
127.0.0.1, 2020-07-12 22:17:55, GET, /dist/js/bootstrap.min.js, HTTP/1.1, 404, 0.011325
127.0.0.1, 2020-07-12 22:17:55, GET, /assets/js/vendor/popper.min.js, HTTP/1.1, 404, 0.021786
127.0.0.1, 2020-07-12 22:17:55, GET, /dist/js/bootstrap.min.js, HTTP/1.1, 404, 0.011087
127.0.0.1, 2020-07-12 22:17:55, GET, /vendas, HTTP/1.1, 200, 0.016165
127.0.0.1, 2020-07-12 22:17:55, GET, /marisacatto/static/css/jumbotron.css, HTTP/1.1, 404, 0.000463
127.0.0.1, 2020-07-12 22:17:55, GET, /assets/js/vendor/popper.min.js, HTTP/1.1, 404, 0.012395
127.0.0.1, 2020-07-12 22:17:55, GET, /dist/js/bootstrap.min.js, HTTP/1.1, 404, 0.015680
127.0.0.1, 2020-07-12 22:17:55, GET, /assets/js/vendor/popper.min.js, HTTP/1.1, 404, 0.012223
127.0.0.1, 2020-07-12 22:17:55, GET, /dist/js/bootstrap.min.js, HTTP/1.1, 404, 0.008846
127.0.0.1, 2020-07-12 22:17:57, GET, /cart_form.html, HTTP/1.1, 200, 0.018210
127.0.0.1, 2020-07-12 22:17:57, GET, /marisacatto/static/css/jumbotron.css, HTTP/1.1, 404, 0.000360
127.0.0.1, 2020-07-12 22:17:57, GET, /assets/js/vendor/popper.min.js, HTTP/1.1, 404, 0.010988
127.0.0.1, 2020-07-12 22:17:57, GET, /dist/js/bootstrap.min.js, HTTP/1.1, 404, 0.019131
127.0.0.1, 2020-07-12 22:17:57, GET, /assets/js/vendor/popper.min.js, HTTP/1.1, 404, 0.011174
127.0.0.1, 2020-07-12 22:17:57, GET, /dist/js/bootstrap.min.js, HTTP/1.1, 404, 0.011024
127.0.0.1, 2020-07-12 22:18:03, GET, /vendas, HTTP/1.1, 200, 0.013204
127.0.0.1, 2020-07-12 22:18:03, GET, /marisacatto/static/css/jumbotron.css, HTTP/1.1, 404, 0.000369
127.0.0.1, 2020-07-12 22:18:03, GET, /assets/js/vendor/popper.min.js, HTTP/1.1, 404, 0.014552
127.0.0.1, 2020-07-12 22:18:03, GET, /dist/js/bootstrap.min.js, HTTP/1.1, 404, 0.017464
127.0.0.1, 2020-07-12 22:18:03, GET, /assets/js/vendor/popper.min.js, HTTP/1.1, 404, 0.009705
127.0.0.1, 2020-07-12 22:18:03, GET, /dist/js/bootstrap.min.js, HTTP/1.1, 404, 0.008895
127.0.0.1, 2020-07-12 22:18:05, GET, /cart_form.html, HTTP/1.1, 200, 0.017118
127.0.0.1, 2020-07-12 22:18:05, GET, /marisacatto/static/css/jumbotron.css, HTTP/1.1, 404, 0.000382
127.0.0.1, 2020-07-12 22:18:05, GET, /dist/js/bootstrap.min.js, HTTP/1.1, 404, 0.011798
127.0.0.1, 2020-07-12 22:18:05, GET, /assets/js/vendor/popper.min.js, HTTP/1.1, 404, 0.022122
127.0.0.1, 2020-07-12 22:18:05, GET, /assets/js/vendor/popper.min.js, HTTP/1.1, 404, 0.014832
127.0.0.1, 2020-07-12 22:18:05, GET, /dist/js/bootstrap.min.js, HTTP/1.1, 404, 0.009094
127.0.0.1, 2020-07-12 22:18:54, GET, /cart_form.html, HTTP/1.1, 200, 0.015132
127.0.0.1, 2020-07-12 22:18:54, GET, /marisacatto/static/css/jumbotron.css, HTTP/1.1, 404, 0.000335
127.0.0.1, 2020-07-12 22:18:54, GET, /dist/js/bootstrap.min.js, HTTP/1.1, 404, 0.018581
127.0.0.1, 2020-07-12 22:18:54, GET, /assets/js/vendor/popper.min.js, HTTP/1.1, 404, 0.011300
127.0.0.1, 2020-07-12 22:18:54, GET, /dist/js/bootstrap.min.js, HTTP/1.1, 404, 0.012613
127.0.0.1, 2020-07-12 22:19:09, GET, /cart_form.html, HTTP/1.1, 200, 0.020293
127.0.0.1, 2020-07-12 22:19:09, GET, /marisacatto/static/css/jumbotron.css, HTTP/1.1, 404, 0.000340
127.0.0.1, 2020-07-12 22:19:09, GET, /assets/js/vendor/popper.min.js, HTTP/1.1, 404, 0.014098
127.0.0.1, 2020-07-12 22:19:09, GET, /dist/js/bootstrap.min.js, HTTP/1.1, 404, 0.023625
127.0.0.1, 2020-07-12 22:19:09, GET, /dist/js/bootstrap.min.js, HTTP/1.1, 404, 0.009162
127.0.0.1, 2020-07-12 22:19:12, GET, /cart_form.html, HTTP/1.1, 200, 0.015633
127.0.0.1, 2020-07-12 22:19:12, GET, /marisacatto/static/css/jumbotron.css, HTTP/1.1, 404, 0.000433
127.0.0.1, 2020-07-12 22:19:12, GET, /assets/js/vendor/popper.min.js, HTTP/1.1, 404, 0.021617
127.0.0.1, 2020-07-12 22:19:12, GET, /dist/js/bootstrap.min.js, HTTP/1.1, 404, 0.023134
127.0.0.1, 2020-07-12 22:19:35, GET, /vender, HTTP/1.1, 200, 0.020336
127.0.0.1, 2020-07-12 22:19:35, GET, /marisacatto/static/css/jumbotron.css, HTTP/1.1, 404, 0.000464
127.0.0.1, 2020-07-12 22:19:35, GET, /assets/js/vendor/popper.min.js, HTTP/1.1, 404, 0.046173
127.0.0.1, 2020-07-12 22:19:35, GET, /dist/js/bootstrap.min.js, HTTP/1.1, 404, 0.056246
127.0.0.1, 2020-07-12 22:19:40, POST, /vender, HTTP/1.1, 200, 0.015656
127.0.0.1, 2020-07-12 22:19:40, GET, /marisacatto/static/css/jumbotron.css, HTTP/1.1, 404, 0.000420
127.0.0.1, 2020-07-12 22:19:40, GET, /assets/js/vendor/popper.min.js, HTTP/1.1, 404, 0.013649
127.0.0.1, 2020-07-12 22:19:40, GET, /dist/js/bootstrap.min.js, HTTP/1.1, 404, 0.020681
127.0.0.1, 2020-07-12 22:19:40, GET, /assets/js/vendor/popper.min.js, HTTP/1.1, 404, 0.010597
127.0.0.1, 2020-07-12 22:19:40, GET, /dist/js/bootstrap.min.js, HTTP/1.1, 404, 0.009350
127.0.0.1, 2020-07-12 22:20:34, GET, /products, HTTP/1.1, 200, 0.019019
127.0.0.1, 2020-07-12 22:20:34, GET, /marisacatto/static/css/jumbotron.css, HTTP/1.1, 404, 0.000329
127.0.0.1, 2020-07-12 22:20:34, GET, /assets/js/vendor/popper.min.js, HTTP/1.1, 404, 0.013761
127.0.0.1, 2020-07-12 22:20:34, GET, /dist/js/bootstrap.min.js, HTTP/1.1, 404, 0.023695
127.0.0.1, 2020-07-12 22:20:34, GET, /download/produtos.imagemdoproduto.82e8704da838c343.3438383231322e6a7067.jpg, HTTP/1.1, 304, 0.034071
